"keys","en","zh_CN","zh_TW","ja","ko","es","fr","de","pt","ru","pl","vi","id","ar","tr","th","uk"
"SETTING_AUTO_BRACE_HIGHLIGHT","Highlight Matching Braces","高亮匹配的括号","高亮相配的括號","対応する括弧を強調","짝이 맞는 괄호 강조","Resaltar llaves coincidentes","Surligner les accolades correspondantes","Zugehörige Klammern hervorheben","Destacar chaves correspondentes","Подсветка парных скобок","Podświetl pasujące nawiasy","Làm nổi bật ngoặc khớp","Sorot kurung yang cocok","تمييز الأقواس المتطابقة","Eşleşen parantezleri vurgula","เน้นวงเล็บที่ตรงกัน","Підсвітка парних дужок"
"SETTING_SMOOTH_SCROLLING","Smooth Scrolling","平滑滚动","平滑捲動","スムーズスクロール","부드러운 스크롤","Desplazamiento suave","Défilement fluide","Sanftes Scrollen","Rolagem suave","Плавная прокрутка","Płynne przewijanie","Cuộn mượt","Gulir halus","تمرير سلس","Yumuşak kaydırma","เลื่อนอย่างนุ่มนวล","Плавне прокручування"
"SETTING_V_SCROLL_SPEED","Scrolling Speed","滚动速度","捲動速度","スクロール速度","스크롤 속도","Velocidad de desplazamiento","Vitesse de défilement","Scrollgeschwindigkeit","Velocidade de rolagem","Скорость прокрутки","Prędkość przewijania","Tốc độ cuộn","Kecepatan gulir","سرعة التمرير","Kaydırma hızı","ความเร็วการเลื่อน","Швидкість прокручування"
"SETTING_MINIMAP","Minimap","小地图","小地圖","ミニマップ","미니맵","Minimapa","Minicarte","Minimap","Minimapa","Миникарта","Minimapa","Bản đồ thu nhỏ","Minimap","الخريطة المصغرة","Mini harita","แผนที่ย่อ","Міні-карта"
"SETTING_MINIMAP_WIDTH","Minimap Width","小地图宽度","小地圖寬度","ミニマップの幅","미니맵 너비","Ancho del minimapa","Largeur de la minicarte","Minimap-Breite","Largura do minimapa","Ширина миникарты","Szerokość minimapy","Chiều rộng bản đồ thu nhỏ","Lebar minimap","عرض الخريطة المصغرة","Mini harita genişliği","ความกว้างแผนที่ย่อ","Ширина міні-карти"
"SETTING_GLOW","Glow","辉光","光暈","グロー","글로우","Resplandor","Lueur","Glühen","Brilho","Свечение","Poświata","Phát sáng","Glow","توهج","Parlama","เรืองแสง","Сяйво"
"SETTING_SUNLIGHT","Shader: Sunlight","着色器：阳光","著色器：陽光","シェーダー：太陽光","셰이더: 햇빛","Shader: luz solar","Shader : lumière du soleil","Shader: Sonnenlicht","Shader: luz solar","Шейдер: солнечный свет","Shader: światło słoneczne","Shader: ánh nắng","Shader: sinar matahari","تظليل: ضوء الشمس","Shader: güneş ışığı","เชเดอร์: แสงอาทิตย์","Шейдер: сонячне світло"
"SETTING_VHS","Shader: VHS and CRT","着色器：VHS 和 CRT","著色器：VHS 與 CRT","シェーダー：VHS と CRT","셰이더: VHS 및 CRT","Shader: VHS y CRT","Shader : VHS et CRT","Shader: VHS und CRT","Shader: VHS e CRT","Шейдер: VHS и CRT","Shader: VHS i CRT","Shader: VHS và CRT","Shader: VHS dan CRT","تظليل: VHS و CRT","Shader: VHS ve CRT","เชเดอร์: VHS และ CRT","Шейдер: VHS і CRT"
"SETTING_MUSIC","Music","音乐","音樂","音楽","음악","Música","Musique","Musik","Música","Музыка","Muzyka","Nhạc","Musik","موسيقى","Müzik","เพลง","Музика"
"SETTING_MUSIC_VOLUME","Music: Volume","音乐：音量","音樂：音量","音楽：音量","음악: 볼륨","Música: volumen","Musique : volume","Musik: Lautstärke","Música: volume","Музыка: громкость","Muzyka: głośność","Nhạc: âm lượng","Musik: volume","الموسيقى: الصوت","Müzik: ses düzeyi","เพลง: ระดับเสียง","Музика: гучність"
"SETTING_MUSIC_MOVE_INTENSITY","Music: Camera Intensity","音乐：镜头强度","音樂：鏡頭強度","音楽：カメラの強さ","음악: 카메라 강도","Música: intensidad de cámara","Musique : intensité de la caméra","Musik: Kameraintensität","Música: intensidade da câmera","Музыка: интенсивность камеры","Muzyka: intensywność kamery","Nhạc: cường độ máy quay","Musik: intensitas kamera","الموسيقى: شدة الكاميرا","Müzik: kamera yoğunluğu","เพลง: ความแรงของกล้อง","Музика: інтенсивність камери"
"SETTING_DISCORD_SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK","Discord SDK"
"SETTING_LANGUAGE","Language","语言","語言","言語","언어","Idioma","Langue","Sprache","Idioma","Язык","Język","Ngôn ngữ","Bahasa","اللغة","Dil","ภาษา","Мова"
"LANGUAGE_SYSTEM","System default","跟随系统","跟隨系統","システム既定","시스템 기본값","Predeterminado del sistema","Langue du système","Systemstandard","Padrão do sistema","Язык системы","Język systemu","Theo hệ thống","Bawaan sistem","اللغة الافتراضية","Sistem varsayılanı","ตามระบบ","Мова системи"
"UNIT_SECONDS","sec.","秒","秒","秒","초","seg.","s","Sek.","seg.","сек.","sek.","giây","dtk.","ث.","sn.","วิ.","сек."
"UNIT_TABS","tabs","个制表符","個定位點","タブ","탭","tabs","tab.","Tabs","tabs","таб.","taby","tab","tab","تبويبات","sekmeler","แท็บ","таб."
"UNIT_PX_S","px/s","像素/秒","像素/秒","px/秒","px/s","px/s","px/s","px/s","px/s","пкс/с","px/s","px/s","px/dtk.","بكسل/ث","px/sn.","px/วินาที","пкс/с"
"UNIT_PX","px","px","px","px","px","px","px","px","px","px","px","px","px","px","px","px","px"
"UNIT_PERCENT","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"UNIT_X","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"WELCOME","Welcome to [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Please select a file, then press CTRL + I to get started! :D","欢迎使用 [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]！请选择一个文件，然后按 CTRL + I 开始使用！:D","歡迎使用 [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]！請選擇一個檔案，然後按 CTRL + I 開始使用！:D","[color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color] へようこそ！ファイルを選択して、CTRL + I を押すと始められます！:D","[color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]에 오신 것을 환영합니다! 파일을 선택한 후 CTRL + I를 눌러 시작하세요! :D","¡Bienvenido a [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Selecciona un archivo y pulsa CTRL + I para empezar! :D","Bienvenue sur [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color] ! Sélectionnez un fichier, puis appuyez sur CTRL + I pour commencer ! :D","Willkommen bei [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Wähle eine Datei aus und drücke dann CTRL + I, um loszulegen! :D","Bem-vindo ao [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Selecione um arquivo e pressione CTRL + I para começar! :D","Добро пожаловать в [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Выберите файл и нажмите CTRL + I, чтобы начать! :D","Witaj w [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Wybierz plik i naciśnij CTRL + I, aby zacząć! :D","Chào mừng đến với [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Hãy chọn một tệp rồi nhấn CTRL + I để bắt đầu! :D","Selamat datang di [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Pilih file, lalu tekan CTRL + I untuk memulai! :D","مرحبًا بك في [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! اختر ملفًا ثم اضغط CTRL + I للبدء! :D","[color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]'a hoş geldin! Başlamak için bir dosya seç ve CTRL + I tuşuna bas! :D","ยินดีต้อนรับสู่ [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! เลือกไฟล์ แล้วกด CTRL + I เพื่อเริ่มต้น! :D","Ласкаво просимо до [color=#c9daf8]Bussin[/color] [color=#85c6ff]GriddyCode[/color]! Виберіть файл, а потім натисніть CTRL + I, щоб почати! :D"
"WARN_EMPTY_FILE","[color=yellow]WARNING[/color]: You are currently in an empty file. No autosave will be performed.","[color=yellow]警告[/color]：你当前处于空文件中，将不会执行自动保存。","[color=yellow]警告[/color]：您目前處於空檔案中，將不會執行自動儲存。","[color=yellow]警告[/color]: 現在は空のファイルです。自動保存は実行されません。","[color=yellow]경고[/color]: 현재 빈 파일입니다. 자동 저장이 수행되지 않습니다.","[color=yellow]ADVERTENCIA[/color]: Estás en un archivo vacío. No se realizará el guardado automático.","[color=yellow]AVERTISSEMENT[/color] : vous êtes dans un fichier vide. Aucune sauvegarde automatique ne sera effectuée.","[color=yellow]WARNUNG[/color]: Sie befinden sich in einer leeren Datei. Es wird keine automatische Speicherung durchgeführt.","[color=yellow]AVISO[/color]: Você está em um arquivo vazio. Nenhum salvamento automático será realizado.","[color=yellow]ПРЕДУПРЕЖДЕНИЕ[/color]: вы находитесь в пустом файле. Автосохранение не будет выполнено.","[color=yellow]OSTRZEŻENIE[/color]: Jesteś w pustym pliku. Automatyczne zapisywanie nie zostanie wykonane.","[color=yellow]CẢNH BÁO[/color]: Bạn đang ở trong một tệp trống. Sẽ không có tự động lưu.","[color=yellow]PERINGATAN[/color]: Anda berada di file kosong. Penyimpanan otomatis tidak akan dilakukan.","[color=yellow]تحذير[/color]: أنت الآن في ملف فارغ. لن يتم إجراء أي حفظ تلقائي.","[color=yellow]UYARI[/color]: Şu anda boş bir dosyadasınız. Otomatik kaydetme yapılmayacak.","[color=yellow]คำเตือน[/color]: คุณอยู่ในไฟล์ว่าง จะไม่มีการบันทึกอัตโนมัติ","[color=yellow]ПОПЕРЕДЖЕННЯ[/color]: ви зараз у порожньому файлі. Автозбереження не буде виконано."
"WARN_GLOW_DISABLED","[color=yellow]WARNING[/color]: This theme disabled the glow.","[color=yellow]警告[/color]：此主题已禁用辉光。","[color=yellow]警告[/color]：此主題已停用光暈。","[color=yellow]警告[/color]: このテーマはグローを無効にしました。","[color=yellow]경고[/color]: 이 테마가 글로우를 비활성화했습니다.","[color=yellow]ADVERTENCIA[/color]: este tema deshabilitó el resplandor.","[color=yellow]AVERTISSEMENT[/color] : ce thème a désactivé la lueur.","[color=yellow]WARNUNG[/color]: Dieses Theme hat das Glühen deaktiviert.","[color=yellow]AVISO[/color]: este tema desativou o brilho.","[color=yellow]ПРЕДУПРЕЖДЕНИЕ[/color]: эта тема отключила свечение.","[color=yellow]OSTRZEŻENIE[/color]: ten motyw wyłączył poświatę.","[color=yellow]CẢNH BÁO[/color]: chủ đề này đã tắt tính năng phát sáng.","[color=yellow]PERINGATAN[/color]: tema ini menonaktifkan glow.","[color=yellow]تحذير[/color]: عطّل هذا السمة التوهج.","[color=yellow]UYARI[/color]: Bu tema parlama özelliğini devre dışı bıraktı.","[color=yellow]คำเตือน[/color]: ชุดรูปแบบนี้ปิดการใช้งานการเรืองแสง","[color=yellow]ПОПЕРЕДЖЕННЯ[/color]: ця тема вимкнула сяйво."
"WARN_LANG_UNSUPPORTED","[color=yellow]WARNING[/color]: This file isn't supported. Highlighting, autocomplete, comments and other features won't work properly.","[color=yellow]警告[/color]：不支持此文件。高亮、自动补全、评论等功能将无法正常工作。","[color=yellow]警告[/color]：不支援此檔案。高亮、自動補全、評論等功能將無法正常運作。","[color=yellow]警告[/color]: このファイルはサポートされていません。ハイライト、自動補完、コメントなどの機能は正常に動作しません。","[color=yellow]경고[/color]: 이 파일은 지원되지 않습니다. 구문 강조, 자동 완성, 댓글 등의 기능이 제대로 작동하지 않습니다.","[color=yellow]ADVERTENCIA[/color]: este archivo no es compatible. El resaltado, el autocompletado, los comentarios y otras funciones no funcionarán correctamente.","[color=yellow]AVERTISSEMENT[/color] : ce fichier n'est pas pris en charge. La coloration syntaxique, l'autocomplétion, les commentaires et d'autres fonctionnalités ne fonctionneront pas correctement.","[color=yellow]WARNUNG[/color]: Diese Datei wird nicht unterstützt. Hervorhebung, Autovervollständigung, Kommentare und andere Funktionen funktionieren möglicherweise nicht richtig.","[color=yellow]AVISO[/color]: este arquivo não é suportado. Realce, autocompletar, comentários e outros recursos não funcionarão corretamente.","[color=yellow]ПРЕДУПРЕЖДЕНИЕ[/color]: этот файл не поддерживается. Подсветка, автодополнение, комментарии и другие функции могут работать некорректно.","[color=yellow]OSTRZEŻENIE[/color]: ten plik nie jest obsługiwany. Podświetlanie, autouzupełnianie, komentarze i inne funkcje mogą nie działać poprawnie.","[color=yellow]CẢNH BÁO[/color]: Tệp này không được hỗ trợ. Tô màu cú pháp, tự động hoàn thành, bình luận và các tính năng khác sẽ không hoạt động đúng.","[color=yellow]PERINGATAN[/color]: File ini tidak didukung. Penyorotan, pelengkapan otomatis, komentar, dan fitur lainnya mungkin tidak berfungsi dengan baik.","[color=yellow]تحذير[/color]: هذا الملف غير مدعوم. التمييز والإكمال التلقائي والتعليقات والميزات الأخرى لن تعمل بشكل صحيح.","[color=yellow]UYARI[/color]: Bu dosya desteklenmiyor. Vurgulama, otomatik tamamlama, yorumlar ve diğer özellikler düzgün çalışmayabilir.","[color=yellow]คำเตือน[/color]: ไฟล์นี้ไม่ได้รับการสนับสนุน การเน้นสี การเติมโค้ดอัตโนมัติ ความคิดเห็น และฟีเจอร์อื่นๆ อาจทำงานไม่ถูกต้อง","[color=yellow]ПОПЕРЕДЖЕННЯ[/color]: цей файл не підтримується. Підсвітка, автодоповнення, коментарі та інші функції можуть працювати неправильно."
"WARN_THEME_FAILED","[color=yellow]WARNING[/color]: Failed to load theme: %s","[color=yellow]警告[/color]：主题加载失败：%s","[color=yellow]警告[/color]：主題載入失敗：%s","[color=yellow]警告[/color]: テーマの読み込みに失敗しました: %s","[color=yellow]경고[/color]: 테마를 불러오지 못했습니다: %s","[color=yellow]ADVERTENCIA[/color]: no se pudo cargar el tema: %s","[color=yellow]AVERTISSEMENT[/color] : échec du chargement du thème : %s","[color=yellow]WARNUNG[/color]: Das Theme konnte nicht geladen werden: %s","[color=yellow]AVISO[/color]: falha ao carregar o tema: %s","[color=yellow]ПРЕДУПРЕЖДЕНИЕ[/color]: не удалось загрузить тему: %s","[color=yellow]OSTRZEŻENIE[/color]: nie udało się wczytać motywu: %s","[color=yellow]CẢNH BÁO[/color]: Không thể tải chủ đề: %s","[color=yellow]PERINGATAN[/color]: Gagal memuat tema: %s","[color=yellow]تحذير[/color]: تعذّر تحميل السمة: %s","[color=yellow]UYARI[/color]: Tema yüklenemedi: %s","[color=yellow]คำเตือน[/color]: ไม่สามารถโหลดชุดรูปแบบได้: %s","[color=yellow]ПОПЕРЕДЖЕННЯ[/color]: не вдалося завантажити тему: %s"
"UPDATE_CURRENT","Current version: %s","当前版本：%s","目前版本：%s","現在のバージョン: %s","현재 버전: %s","Versión actual: %s","Version actuelle : %s","Aktuelle Version: %s","Versão atual: %s","Текущая версия: %s","Aktualna wersja: %s","Phiên bản hiện tại: %s","Versi saat ini: %s","الإصدار الحالي: %s","Mevcut sürüm: %s","เวอร์ชันปัจจุบัน: %s","Поточна версія: %s"
"UPDATE_CHECK","💾 Check updates","💾 检查更新","💾 檢查更新","💾 アップデートを確認","💾 업데이트 확인","💾 Buscar actualizaciones","💾 Vérifier les mises à jour","💾 Nach Updates suchen","💾 Verificar atualizações","💾 Проверить обновления","💾 Sprawdź aktualizacje","💾 Kiểm tra bản cập nhật","💾 Periksa pembaruan","💾 التحقق من التحديثات","💾 Güncellemeleri kontrol et","💾 ตรวจสอบอัปเดต","💾 Перевірити оновлення"
"UPDATE_LOADING","Loading...","正在加载…","正在載入…","読み込み中…","불러오는 중…","Cargando…","Chargement…","Wird geladen…","Carregando…","Загрузка…","Wczytywanie…","Đang tải…","Memuat…","جارٍ التحميل…","Yükleniyor…","กำลังโหลด…","Завантаження…"
"UPDATE_UP_TO_DATE","Nothing new, you're up to date! 🦗","没有新版本，你已是最新！🦗","沒有新版本，您已是最新！🦗","新しいものはありません。最新です！🦗","새로 나온 것이 없습니다. 최신 버전입니다! 🦗","No hay novedades, ¡estás al día! 🦗","Rien de nouveau, vous êtes à jour ! 🦗","Nichts Neues, du bist auf dem neuesten Stand! 🦗","Nada de novo, você está atualizado! 🦗","Ничего нового, у вас актуальная версия! 🦗","Nic nowego, masz najnowszą wersję! 🦗","Không có gì mới, bạn đã có phiên bản mới nhất! 🦗","Tidak ada yang baru, Anda sudah yang terbaru! 🦗","لا جديد، أنت على أحدث إصدار! 🦗","Yeni bir şey yok, güncelsin! 🦗","ไม่มีอะไรใหม่ คุณอัปเดตล่าสุดแล้ว! 🦗","Нічого нового, у вас актуальна версія! 🦗"
"UPDATE_NEW_AVAILABLE","Great, [color=green]%s[/color] is available! Head over to [url=https://github.com/face-hh/griddycode/releases]our GitHub repository[/url] to download it! 🎉","太棒了，[color=green]%s[/color] 已发布！前往 [url=https://github.com/face-hh/griddycode/releases]我们的 GitHub 仓库[/url] 下载吧！🎉","太棒了，[color=green]%s[/color] 已發佈！前往 [url=https://github.com/face-hh/griddycode/releases]我們的 GitHub 儲存庫[/url] 下載吧！🎉","すばらしい！[color=green]%s[/color] が利用可能です。[url=https://github.com/face-hh/griddycode/releases]GitHub リポジトリ[/url] からダウンロードしましょう！🎉","좋아요, [color=green]%s[/color] 버전을 사용할 수 있습니다! [url=https://github.com/face-hh/griddycode/releases]GitHub 저장소[/url]에서 다운로드하세요! 🎉","¡Genial, [color=green]%s[/color] está disponible! Ve a [url=https://github.com/face-hh/griddycode/releases]nuestro repositorio de GitHub[/url] para descargarlo! 🎉","Super, [color=green]%s[/color] est disponible ! Rendez-vous sur [url=https://github.com/face-hh/griddycode/releases]notre dépôt GitHub[/url] pour le télécharger ! 🎉","Super, [color=green]%s[/color] ist verfügbar! Besuche [url=https://github.com/face-hh/griddycode/releases]unser GitHub-Repository[/url], um es herunterzuladen! 🎉","Ótimo, [color=green]%s[/color] está disponível! Acesse [url=https://github.com/face-hh/griddycode/releases]nosso repositório no GitHub[/url] para baixar! 🎉","Отлично, [color=green]%s[/color] доступна! Зайдите в [url=https://github.com/face-hh/griddycode/releases]наш репозиторий GitHub[/url], чтобы скачать её! 🎉","Świetnie, [color=green]%s[/color] jest dostępna! Wejdź na [url=https://github.com/face-hh/griddycode/releases]nasze repozytorium GitHub[/url], aby ją pobrać! 🎉","Tuyệt vời, [color=green]%s[/color] đã có sẵn! Hãy truy cập [url=https://github.com/face-hh/griddycode/releases]kho lưu trữ GitHub của chúng tôi[/url] để tải xuống! 🎉","Hebat, [color=green]%s[/color] tersedia! Kunjungi [url=https://github.com/face-hh/griddycode/releases]repositori GitHub kami[/url] untuk mengunduhnya! 🎉","رائع، [color=green]%s[/color] متاح الآن! توجه إلى [url=https://github.com/face-hh/griddycode/releases]مستودع GitHub الخاص بنا[/url] لتنزيله! 🎉","Harika, [color=green]%s[/color] mevcut! İndirmek için [url=https://github.com/face-hh/griddycode/releases]GitHub depomuza[/url] göz atın! 🎉","เยี่ยมมาก [color=green]%s[/color] พร้อมใช้งานแล้ว! ไปที่ [url=https://github.com/face-hh/griddycode/releases]คลัง GitHub ของเรา[/url] เพื่อดาวน์โหลด! 🎉","Чудово, [color=green]%s[/color] доступна! Завітайте до [url=https://github.com/face-hh/griddycode/releases]нашого репозиторію GitHub[/url], щоб завантажити її! 🎉"
"COMMENT_DAYS","d","天","天","日","일","d","j","Tage","d","дн.","dni","ngày","hr","يوم","gün","วัน","дн."
"COMMENT_LIKES"," likes"," 个赞"," 個讚"," いいね"," 좋아요"," Me gusta"," j'aime"," Gefällt mir"," curtidas"," лайков"," polubień"," lượt thích"," suka"," إعجاب"," beğenme"," ไลก์"," лайків"
